
 
*********************************** 
*********************************** 
       Corte Phi =  0.000000 
*********************************** 
*********************************** 
			CP				XP
		---------------------------	---------------------------
THETA      	MODULO     	FASE       	MODULO     	FASE       
-----------	-----------	-----------	-----------	-----------
-179.000000	-41.197673	-13.733835	-32.406771	-37.815369
-178.000000	-45.644101	-115.104007	-29.325386	-46.089270
-177.000000	-35.508792	-150.298530	-28.670502	-49.798025
-176.000000	-30.781828	-155.142968	-30.140348	-50.573127
-175.000000	-28.442860	-155.307611	-34.370292	-44.103492
-174.000000	-27.311628	-153.723998	-42.572773	18.677914
-173.000000	-27.163591	-149.207259	-34.431629	84.520943
-172.000000	-27.699243	-141.456016	-29.720978	92.198754
-171.000000	-28.658541	-128.184508	-27.754160	94.518670
-170.000000	-29.633894	-110.127062	-27.656150	96.982617
-169.000000	-30.418303	-89.347428	-29.112442	102.359202
-168.000000	-31.214376	-67.307851	-32.265697	116.780275
-167.000000	-32.173994	-41.766619	-35.397886	152.690365
-166.000000	-32.217246	-9.778019	-34.690119	-166.038345
-165.000000	-30.546011	18.831571	-32.994923	-141.775487
-164.000000	-28.642526	37.589488	-32.341897	-122.760860
-163.000000	-27.094828	51.556763	-31.645289	-98.740767
-162.000000	-25.904360	64.368400	-29.575227	-74.855959
-161.000000	-24.959723	76.977971	-27.151914	-62.473291
-160.000000	-24.111661	89.953354	-25.514998	-56.381146
-159.000000	-23.304736	102.411627	-24.684412	-51.991609
-158.000000	-22.692589	113.961835	-24.596862	-46.021365
-157.000000	-22.118411	125.537905	-24.808249	-36.606845
-156.000000	-21.601940	135.720661	-24.876857	-25.543679
-155.000000	-21.172070	144.774441	-24.797010	-15.083312
-154.000000	-20.857653	152.806881	-24.769458	-4.417190
-153.000000	-20.798955	159.141452	-24.868989	 7.032232
-152.000000	-21.061322	164.461548	-24.881429	19.044274
-151.000000	-21.519807	169.235151	-24.742099	30.187445
-150.000000	-21.861100	173.274847	-24.813095	36.994918
-149.000000	-21.806144	177.347522	-25.704950	39.996891
-148.000000	-21.293605	-177.758546	-27.698186	44.262422
-147.000000	-20.420366	-171.284343	-30.435082	58.087596
-146.000000	-19.398264	-164.577783	-32.033883	87.445798
-145.000000	-18.394575	-157.817922	-30.727604	116.473918
-144.000000	-17.706591	-151.018984	-28.802739	133.871587
-143.000000	-17.297741	-143.532326	-27.005641	145.652656
-142.000000	-17.196138	-133.447388	-25.489181	156.140632
-141.000000	-17.283832	-122.913125	-24.022097	166.334486
-140.000000	-17.403013	-113.685614	-22.710433	173.525465
-139.000000	-17.542008	-105.136306	-21.749380	178.377439
-138.000000	-17.861663	-98.005839	-21.081619	-177.919299
-137.000000	-18.421405	-93.190343	-20.725386	-173.928741
-136.000000	-19.160219	-91.332398	-20.786230	-169.378695
-135.000000	-19.863946	-91.182090	-21.347283	-165.298521
-134.000000	-19.909050	-90.472048	-22.387586	-162.316224
-133.000000	-19.152740	-89.529427	-23.454637	-160.566664
-132.000000	-18.239331	-89.545286	-24.123458	-160.150954
-131.000000	-17.582960	-87.675331	-24.488950	-160.069170
-130.000000	-17.251148	-82.709848	-24.464455	-156.889044
-129.000000	-17.084828	-76.706547	-23.118908	-144.990189
-128.000000	-17.086919	-72.356522	-20.549222	-131.341893
-127.000000	-17.181496	-72.171115	-18.375112	-122.086837
-126.000000	-17.119959	-75.333483	-17.123583	-115.480772
-125.000000	-16.787928	-78.728116	-16.540903	-110.581515
-124.000000	-16.254583	-81.064244	-16.547275	-109.682848
-123.000000	-15.760769	-80.906588	-17.127692	-113.104639
-122.000000	-15.553989	-78.367217	-18.078835	-119.754763
-121.000000	-15.799024	-73.767251	-18.763005	-123.631531
-120.000000	-16.520297	-70.198644	-18.939337	-120.269400
-119.000000	-17.552529	-69.661228	-18.884942	-112.841853
-118.000000	-18.063123	-70.700331	-19.337837	-104.426480
-117.000000	-17.406472	-71.561628	-20.317969	-93.214530
-116.000000	-15.874373	-69.748876	-20.424890	-82.136810
-115.000000	-14.625556	-65.905180	-19.183424	-83.538227
-114.000000	-14.279210	-63.293623	-17.388308	-91.298861
-113.000000	-14.889493	-63.106237	-15.852520	-93.957044
-112.000000	-15.629504	-66.088757	-15.106182	-89.895185
-111.000000	-15.849664	-75.032468	-15.152790	-86.324470
-110.000000	-15.379454	-81.253813	-16.250689	-85.262956
-109.000000	-15.081632	-79.483931	-17.755408	-87.857615
-108.000000	-15.271090	-71.984440	-18.296508	-92.422764
-107.000000	-15.587474	-66.135851	-17.731796	-90.452118
-106.000000	-15.847508	-66.004102	-17.086975	-80.168882
-105.000000	-15.428902	-70.144747	-16.592079	-69.667423
-104.000000	-14.391445	-72.258358	-16.944557	-66.901354
-103.000000	-13.489204	-71.529241	-17.819510	-72.028392
-102.000000	-13.406136	-69.978155	-17.553881	-83.968874
-101.000000	-14.350867	-69.891173	-15.994645	-91.890369
-100.000000	-15.394660	-75.337291	-14.916912	-90.301376
-99.000000	-15.145392	-83.554062	-15.164086	-83.440170
-98.000000	-13.864192	-85.302102	-16.550810	-76.489882
-97.000000	-12.797599	-81.356066	-18.479359	-72.510294
-96.000000	-12.411279	-75.884048	-19.811598	-73.986559
-95.000000	-12.656284	-74.097645	-19.268685	-76.206905
-94.000000	-13.349076	-78.983851	-17.654906	-73.774656
-93.000000	-13.732393	-89.257596	-16.286633	-67.559027
-92.000000	-13.482472	-94.175013	-15.464007	-61.838024
-91.000000	-13.097862	-91.405529	-14.894765	-61.130463
-90.000000	-12.921728	-86.884816	-14.465680	-65.967496
-89.000000	-12.904295	-86.097142	-14.250682	-70.933195
-88.000000	-12.683563	-91.721009	-14.590118	-73.417529
-87.000000	-12.180922	-97.730211	-15.194670	-72.580017
-86.000000	-11.926801	-99.146709	-15.662914	-68.120292
-85.000000	-12.316051	-98.324899	-15.484681	-65.569194
-84.000000	-13.176724	-97.773386	-14.337473	-68.021590
-83.000000	-13.724197	-99.819427	-12.661008	-70.219109
-82.000000	-13.279113	-103.875362	-11.336493	-70.841428
-81.000000	-12.300613	-104.379250	-11.057233	-71.151550
-80.000000	-11.694287	-102.679032	-11.607792	-74.309790
-79.000000	-11.839027	-102.222007	-12.269451	-82.332061
-78.000000	-12.437139	-105.494045	-12.337570	-88.893297
-77.000000	-12.843740	-113.785767	-12.120340	-88.483928
-76.000000	-12.768759	-120.475992	-12.045876	-83.674725
-75.000000	-12.796731	-119.675470	-12.125509	-80.783043
-74.000000	-13.224850	-115.106543	-11.964041	-86.370771
-73.000000	-13.796399	-113.119407	-11.073042	-95.508322
-72.000000	-14.018698	-116.748826	-10.036118	-100.127978
-71.000000	-13.717281	-122.252799	-9.543779	-102.656671
-70.000000	-13.557123	-125.288432	-9.853903	-106.867636
-69.000000	-14.210761	-125.904378	-10.421985	-113.708297
-68.000000	-15.616295	-129.390184	-10.413697	-120.824905
-67.000000	-16.901583	-136.649408	-9.851903	-122.344489
-66.000000	-17.464225	-142.685040	-9.424831	-120.035160
-65.000000	-17.863182	-142.461912	-9.538429	-117.618644
-64.000000	-18.626394	-137.728392	-10.075886	-121.281496
-63.000000	-19.791486	-130.809824	-10.081513	-131.766628
-62.000000	-21.271123	-128.672394	-9.016435	-142.522003
-61.000000	-23.102128	-137.449916	-8.022626	-146.450409
-60.000000	-24.189752	-162.682262	-7.966602	-147.052780
-59.000000	-22.953137	170.961547	-8.751793	-149.724602
-58.000000	-21.842409	156.849420	-9.362310	-155.893383
-57.000000	-21.862597	143.013426	-9.065042	-161.406351
-56.000000	-21.962483	119.242648	-8.361986	-163.499631
-55.000000	-20.049686	95.127172	-8.069632	-163.481993
-54.000000	-17.110758	82.909987	-8.203604	-165.944693
-53.000000	-14.867942	80.372807	-8.279201	-172.923443
-52.000000	-13.290565	80.338862	-7.853821	178.366795
-51.000000	-11.923055	78.131674	-7.201206	172.100264
-50.000000	-10.638309	72.727280	-6.946614	169.417535
-49.000000	-9.308963	66.078608	-7.272544	168.308381
-48.000000	-8.089589	59.935517	-7.957018	165.876191
-47.000000	-7.212267	54.763186	-8.374740	160.889170
-46.000000	-6.654773	50.667535	-8.103636	155.738506
-45.000000	-6.179677	46.169215	-7.335385	152.321553
-44.000000	-5.710372	43.213411	-6.774616	151.889817
-43.000000	-5.221474	41.773559	-6.659264	151.162982
-42.000000	-4.779218	41.681094	-6.871761	147.107261
-41.000000	-4.456043	42.708063	-6.967110	141.031947
-40.000000	-4.275778	43.821651	-6.760467	135.265099
-39.000000	-4.234077	43.591011	-6.470353	132.254202
-38.000000	-4.236114	42.061735	-6.380512	132.056974
-37.000000	-4.163285	39.027933	-6.555723	132.758995
-36.000000	-3.973404	35.985493	-6.930502	132.382768
-35.000000	-3.788896	34.756060	-7.280905	129.931431
-34.000000	-3.721570	34.218180	-7.406118	124.874110
-33.000000	-3.845119	33.866149	-7.297790	120.253070
-32.000000	-4.142053	33.430070	-7.281133	117.753093
-31.000000	-4.572031	32.068004	-7.610382	116.233201
-30.000000	-5.049141	29.867217	-8.292750	114.584501
-29.000000	-5.617758	27.486489	-9.177491	111.943285
-28.000000	-6.452151	25.078617	-10.030445	107.814267
-27.000000	-7.696606	22.367438	-10.585869	103.508671
-26.000000	-9.603361	18.242787	-10.919964	100.916094
-25.000000	-12.607287	 9.869585	-11.275994	100.670280
-24.000000	-17.187378	-11.320555	-11.878791	102.062836
-23.000000	-19.602702	-71.629412	-12.812795	103.881471
-22.000000	-14.516166	-112.390716	-14.081751	104.245432
-21.000000	-10.649035	-125.237030	-15.521490	102.386958
-20.000000	-7.950908	-132.463966	-17.016248	97.002234
-19.000000	-5.904489	-137.910092	-18.174260	90.002561
-18.000000	-4.222586	-142.262177	-18.906158	85.250428
