f (GHz)	Gan. (dBi)

4	-4.6652
4.01	-4.6929
4.02	-4.4092
4.03	-3.9964
4.04	-4.2398
4.05	-4.4938
4.06	-4.3611
4.07	-4.9104
4.08	-5.4579
4.09	-5.3439
4.1	-5.7365
4.11	-6.1839
4.12	-5.99
4.13	-6.0795
4.14	-6.2502
4.15	-5.9205
4.16	-5.5421
4.17	-5.4629
4.18	-5.1516
4.19	-4.5006
4.2	-4.4146
4.21	-4.1377
4.22	-3.2909
4.23	-3.1365
4.24	-3.0323
4.25	-2.5392
4.26	-2.4259
4.27	-2.4672
4.28	-2.1314
4.29	-1.7607
4.3	-1.8842
4.31	-1.6246
4.32	-1.1045
4.33	-1.2223
4.34	-0.99056
4.35	-0.38004
4.36	-0.31459
4.37	-0.11275
4.38	0.49252
4.39	0.75971
4.4	0.71846
4.41	1.1718
4.42	1.5593
4.43	1.3688
4.44	1.6798
4.45	1.9234
4.46	1.647
4.47	1.8137
4.48	1.969
4.49	1.8955
4.5	2.0705
4.51	2.4427
4.52	2.6365
4.53	2.9075
4.54	3.5576
4.55	3.8546
4.56	4.1212
4.57	4.6109
4.58	4.7253
4.59	4.8687
4.6	5.1542
4.61	5.1764
4.62	5.1306
4.63	5.2297
4.64	5.2311
4.65	5.1735
4.66	5.3575
4.67	5.4047
4.68	5.4033
4.69	5.6599
4.7	5.7046
4.71	5.7379
4.72	5.909
4.73	5.9585
4.74	5.9005
4.75	5.9838
4.76	6.0228
4.77	5.8723
4.78	5.9604
4.79	6.0582
4.8	5.9445
4.81	6.0896
4.82	6.2407
4.83	6.2293
4.84	6.3933
4.85	6.5761
4.86	6.6133
4.87	6.7602
4.88	6.8751
4.89	6.8592
4.9	6.9205
4.91	6.9477
4.92	6.901
4.93	6.9637
4.94	7.0005
4.95	6.9629
4.96	7.1032
4.97	7.2225
4.98	7.1912
4.99	7.3875
5	7.4592
5.01	7.29
5.02	7.3406
5.03	7.3384
5.04	7.0389
5.05	6.9142
5.06	6.967
5.07	6.6198
5.08	6.5294
5.09	6.7607
5.1	6.5454
5.11	6.5907
5.12	6.8908
5.13	6.824
5.14	6.7708
5.15	6.9542
5.16	6.9845
5.17	6.6878
5.18	6.8383
5.19	6.7041
5.2	6.179
5.21	6.3104
5.22	6.0636
5.23	5.6733
5.24	5.7155
5.25	5.6497
5.26	5.5277
5.27	5.5196
5.28	5.8596
5.29	5.8015
5.3	5.8318
5.31	6.4392
5.32	6.2313
5.33	6.2802
5.34	6.6845
5.35	6.3941
5.36	6.2686
5.37	6.2165
5.38	6.0392
5.39	5.5634
5.4	5.4481
5.41	5.5245
5.42	4.9187
5.43	5.0769
5.44	5.2743
5.45	4.9181
5.46	5.3189
5.47	5.5859
5.48	5.6002
5.49	5.6579
5.5	5.9561
5.51	6.1338
5.52	5.5971
5.53	5.9491
5.54	5.6839
5.55	4.9779
5.56	5.2916
5.57	4.9304
5.58	4.5152
5.59	4.587
5.6	4.6077
5.61	4.5374
5.62	4.4357
5.63	4.9687
5.64	4.9129
5.65	4.8132
5.66	5.5392
5.67	5.2754
5.68	5.2301
5.69	5.5475
5.7	5.216
5.71	5.0481
5.72	4.9415
5.73	4.8579
5.74	4.4292
5.75	4.4071
5.76	4.5263
5.77	4.0418
5.78	4.2402
5.79	4.3307
5.8	4.0732
5.81	4.3554
5.82	4.4474
5.83	4.349
5.84	4.3855
5.85	4.5475
5.86	4.1827
5.87	3.918
5.88	4.123
5.89	3.3771
5.9	3.1058
5.91	3.2629
5.92	2.657
5.93	2.5878
5.94	2.7652
5.95	2.6839
5.96	2.5985
5.97	2.9353
5.98	3.3618
5.99	2.8928
6	3.2365
6.01	3.6817
6.02	2.8402
6.03	2.9486
6.04	2.9535
6.05	2.1253
6.06	1.9154
6.07	1.9291
6.08	1.5617
6.09	1.0465
6.1	1.1872
6.11	1.2361
6.12	0.67957
6.13	1.0624
6.14	1.4582
6.15	1.03
6.16	1.3649
6.17	1.869
6.18	1.6697
6.19	1.6595
6.2	2.0645
6.21	2.0107
6.22	1.4846
6.23	1.8261
6.24	1.7981
6.25	1.0275
6.26	1.2043
6.27	1.2022
6.28	0.59842
6.29	0.61219
6.3	0.66548
