#Parameters = {L_parche_inf=15.28; L_parche_sup=14.98; Long_linea=17.19; W_linea=1.5; W_parche_inf=21.62; W_parche_sup=21.62; alpha=-21.96324717241; distancia_entre_parches=44.68085106383; h_0=4.335; h_cobre=0.035; h_sus=1.58; lambda_0=63.829787234042}
#"Theta / deg"	"farfield (f=4.7) [1] [Magnitude / dBi]"
#------------------------------------------------------
-180.00000000000	-4.8187517907323
-179.00000000000	-4.5482640839357
-178.00000000000	-4.3559600306561
-177.00000000000	-4.2408686059048
-176.00000000000	-4.2024362915611
-175.00000000000	-4.2405340834639
-174.00000000000	-4.3554715127654
-173.00000000000	-4.5480198018645
-172.00000000000	-4.8194461974213
-171.00000000000	-5.1714491080825
-170.00000000000	-5.6065863388396
-169.00000000000	-6.1278837279540
-168.00000000000	-6.7392029015150
-167.00000000000	-7.4452957281061
-166.00000000000	-8.2519264193968
-165.00000000000	-9.1659788841595
-164.00000000000	-10.195488863689
-163.00000000000	-11.349109647359
-162.00000000000	-12.636549285186
-161.00000000000	-14.064805310648
-160.00000000000	-15.633906849560
-159.00000000000	-17.324395052610
-158.00000000000	-19.071844366350
-157.00000000000	-20.726727724232
-156.00000000000	-22.037246184608
-155.00000000000	-22.761269993200
-154.00000000000	-22.887326786535
-153.00000000000	-22.650547399066
-152.00000000000	-22.314956429175
-151.00000000000	-22.045318955886
-150.00000000000	-21.916911926062
-149.00000000000	-21.955381956839
-148.00000000000	-22.162193986903
-147.00000000000	-22.524831190119
-146.00000000000	-23.017094440096
-145.00000000000	-23.591751420937
-144.00000000000	-24.172961127950
-143.00000000000	-24.646568692574
-142.00000000000	-24.881464921354
-141.00000000000	-24.785685483693
-140.00000000000	-24.364166252594
-139.00000000000	-23.711757110907
-138.00000000000	-22.950215561469
-137.00000000000	-22.177172302879
-136.00000000000	-21.453208867780
-135.00000000000	-20.809962138395
-134.00000000000	-20.260612451087
-133.00000000000	-19.808911867176
-132.00000000000	-19.453680756675
-131.00000000000	-19.191606421077
-130.00000000000	-19.018656875810
-129.00000000000	-18.930782905098
-128.00000000000	-18.924237329932
-127.00000000000	-18.995684480358
-126.00000000000	-19.142184058252
-125.00000000000	-19.361081560415
-124.00000000000	-19.649802709252
-123.00000000000	-20.005519905845
-122.00000000000	-20.425267728030
-121.00000000000	-20.902862674753
-120.00000000000	-21.430702682289
-119.00000000000	-21.996088021276
-118.00000000000	-22.579135744411
-117.00000000000	-23.149910694498
-116.00000000000	-23.666378444143
-115.00000000000	-24.075804097326
-114.00000000000	-24.322993591550
-113.00000000000	-24.365945921030
-112.00000000000	-24.192010681313
-111.00000000000	-23.822921644983
-110.00000000000	-23.304460617189
-109.00000000000	-22.689163962651
-108.00000000000	-22.023055551723
-107.00000000000	-21.340256454705
-106.00000000000	-20.663241795703
-105.00000000000	-20.005396103432
-104.00000000000	-19.373801342423
-103.00000000000	-18.771475548699
-102.00000000000	-18.198951269882
-101.00000000000	-17.655316383515
-100.00000000000	-17.139826766206
-99.000000000000	-16.648398654095
-98.000000000000	-16.179920399493
-97.000000000000	-15.732219184695
-96.000000000000	-15.303236428882
-95.000000000000	-14.891077319471
-94.000000000000	-14.494037205701
-93.000000000000	-14.110613968260
-92.000000000000	-13.739511948652
-91.000000000000	-13.379640838051
-90.000000000000	-13.030111577529
-89.000000000000	-12.690232008175
-88.000000000000	-12.359492994686
-87.000000000000	-12.037572680930
-86.000000000000	-11.724319731541
-85.000000000000	-11.419747509082
-84.000000000000	-11.124025576987
-83.000000000000	-10.837470967365
-82.000000000000	-10.560539177862
-81.000000000000	-10.293814813055
-80.000000000000	-10.038001719235
-79.000000000000	-9.7933724461722
-78.000000000000	-9.5618727206813
-77.000000000000	-9.3439898073112
-76.000000000000	-9.1407823235290
-75.000000000000	-8.9533561638412
-74.000000000000	-8.7828391387535
-73.000000000000	-8.6303476438968
-72.000000000000	-8.4969419448150
-71.000000000000	-8.3835653738582
-70.000000000000	-8.2909610614580
-69.000000000000	-8.2195577529901
-68.000000000000	-8.1693139241264
-67.000000000000	-8.1395072605131
-66.000000000000	-8.1284557489916
-65.000000000000	-8.1331595370964
-64.000000000000	-8.1488638206732
-63.000000000000	-8.1685694973457
-62.000000000000	-8.1825692449460
-61.000000000000	-8.1781676237745
-60.000000000000	-8.1398424626293
-59.000000000000	-8.0501675264309
-58.000000000000	-7.8917355123894
-57.000000000000	-7.6503433268335
-56.000000000000	-7.3169454477222
-55.000000000000	-6.8912159782690
-54.000000000000	-6.3812374215528
-53.000000000000	-5.8020325998184
-52.000000000000	-5.1726871427915
-51.000000000000	-4.5133425303505
-50.000000000000	-3.8429183679506
-49.000000000000	-3.1778549889269
-48.000000000000	-2.5317312991648
-47.000000000000	-1.9154458303967
-46.000000000000	-1.3376730758158
-45.000000000000	-0.80540199476382
-44.000000000000	-0.32523384387062
-43.000000000000	0.099013157151677
-42.000000000000	0.46189264165087
-41.000000000000	0.75850514554679
-40.000000000000	0.98355578136117
-39.000000000000	1.1310115657328
-38.000000000000	1.1937179487556
-37.000000000000	1.1629335715122
-36.000000000000	1.0277307604983
-35.000000000000	0.77419408854675
-34.000000000000	0.38405270406767
