#Parameters = {L_parche_inf=15.28; L_parche_sup=14.98; Long_linea=17.19; W_linea=1.5; W_parche_inf=21.62; W_parche_sup=21.62; alpha=-21.96324717241; distancia_entre_parches=44.68085106383; h_0=4.335; h_cobre=0.035; h_sus=1.58; lambda_0=63.829787234042}
#"Theta / deg"	"farfield (f=4.7) [1]_1 [Magnitude / dBi]"
#--------------------------------------------------------
-180.00000000000	-36.818132059322
-179.00000000000	-32.696300627744
-178.00000000000	-30.084020176342
-177.00000000000	-28.259342497675
-176.00000000000	-26.938111170454
-175.00000000000	-25.980247802909
-174.00000000000	-25.307609567397
-173.00000000000	-24.873504367390
-172.00000000000	-24.649317463640
-171.00000000000	-24.618029190649
-170.00000000000	-24.770543527642
-169.00000000000	-25.105092430904
-168.00000000000	-25.625795331649
-167.00000000000	-26.343415359404
-166.00000000000	-27.276749905140
-165.00000000000	-28.455344649879
-164.00000000000	-29.924208619768
-163.00000000000	-31.749945890296
-162.00000000000	-34.033412233606
-161.00000000000	-36.895400332766
-160.00000000000	-40.269429434188
-159.00000000000	-42.695700137561
-158.00000000000	-41.680523146483
-157.00000000000	-39.303709123615
-156.00000000000	-37.388927121317
-155.00000000000	-36.109216185129
-154.00000000000	-35.363968644502
-153.00000000000	-35.072742289309
-152.00000000000	-35.192451919499
-151.00000000000	-35.708075928540
-150.00000000000	-36.611628272197
-149.00000000000	-37.838936731577
-148.00000000000	-39.068490106102
-147.00000000000	-39.418072103634
-146.00000000000	-38.146200462847
-145.00000000000	-35.910715379995
-144.00000000000	-33.603557124561
-143.00000000000	-31.542745981422
-142.00000000000	-29.768495921073
-141.00000000000	-28.249533680500
-140.00000000000	-26.945530780973
-139.00000000000	-25.821214447252
-138.00000000000	-24.848102516477
-137.00000000000	-24.003507776561
-136.00000000000	-23.269216954230
-135.00000000000	-22.629937338072
-134.00000000000	-22.074346043654
-133.00000000000	-21.591350897467
-132.00000000000	-21.171949144250
-131.00000000000	-20.808227746495
-130.00000000000	-20.493122649577
-129.00000000000	-20.220243998240
-128.00000000000	-19.983751739213
-127.00000000000	-19.778270487391
-126.00000000000	-19.598835384199
-125.00000000000	-19.440862364958
-124.00000000000	-19.300137126318
-123.00000000000	-19.172817441691
-122.00000000000	-19.055293999782
-121.00000000000	-18.944837479098
-120.00000000000	-18.838590416510
-119.00000000000	-18.734311764023
-118.00000000000	-18.630168328947
-117.00000000000	-18.524720011835
-116.00000000000	-18.416893448915
-115.00000000000	-18.305945147833
-114.00000000000	-18.191416384799
-113.00000000000	-18.073082899620
-112.00000000000	-17.950902715933
-111.00000000000	-17.824965254961
-110.00000000000	-17.695444404553
-109.00000000000	-17.562557492222
-108.00000000000	-17.426531333841
-107.00000000000	-17.287575805093
-106.00000000000	-17.145864786145
-105.00000000000	-17.001523895828
-104.00000000000	-16.854624160076
-103.00000000000	-16.705180629173
-102.00000000000	-16.553154936968
-101.00000000000	-16.398460848637
-100.00000000000	-16.240891263278
-99.000000000000	-16.080455173975
-98.000000000000	-15.916886543273
-97.000000000000	-15.749995813083
-96.000000000000	-15.579592273306
-95.000000000000	-15.405493664852
-94.000000000000	-15.227535121426
-93.000000000000	-15.045577279369
-92.000000000000	-14.859513436846
-91.000000000000	-14.669275687364
-90.000000000000	-14.474839989740
-89.000000000000	-14.276233172119
-88.000000000000	-14.073523334585
-87.000000000000	-13.866841439227
-86.000000000000	-13.656368672547
-85.000000000000	-13.442340145755
-84.000000000000	-13.225044275077
-83.000000000000	-13.004821491880
-82.000000000000	-12.782062384707
-81.000000000000	-12.557205375071
-80.000000000000	-12.330734025084
-79.000000000000	-12.103213766137
-78.000000000000	-11.875129162991
-77.000000000000	-11.647121767555
-76.000000000000	-11.419824548463
-75.000000000000	-11.193899496371
-74.000000000000	-10.970034278383
-73.000000000000	-10.748938930390
-72.000000000000	-10.531342595641
-71.000000000000	-10.317990306139
-70.000000000000	-10.109639792487
-69.000000000000	-9.9070582974643
-68.000000000000	-9.7110193588944
-67.000000000000	-9.5222995180087
-66.000000000000	-9.3416749004829
-65.000000000000	-9.1699176083787
-64.000000000000	-9.0077918522971
-63.000000000000	-8.8560497440882
-62.000000000000	-8.7154266615468
-61.000000000000	-8.5866360879085
-60.000000000000	-8.4703638211407
-59.000000000000	-8.3672614418223
-58.000000000000	-8.2779389251022
-57.000000000000	-8.2028428524401
-56.000000000000	-8.1426626206135
-55.000000000000	-8.0977440227197
-54.000000000000	-8.0684327752118
-53.000000000000	-8.0549790276473
-52.000000000000	-8.0575230806915
-51.000000000000	-8.0760802022349
-50.000000000000	-8.1105249418345
-49.000000000000	-8.1605755748243
-48.000000000000	-8.2257795971966
-47.000000000000	-8.3055015352800
-46.000000000000	-8.3989147102059
-45.000000000000	-8.5049989643174
-44.000000000000	-8.6223470802627
-43.000000000000	-8.7499047352569
-42.000000000000	-8.8860001752198
-41.000000000000	-9.0290088171811
-40.000000000000	-9.1772665536590
-39.000000000000	-9.3291427040770
-38.000000000000	-9.4831234732514
-37.000000000000	-9.6379002763352
-36.000000000000	-9.7924553471437
-35.000000000000	-9.9461360084210
-34.000000000000	-10.098652417796
-33.000000000000	-10.250319541920
-32.000000000000	-10.401765409563
-31.000000000000	-10.554085889058
-30.000000000000	-10.708756497868
-29.000000000000	-10.867574614795
-28.000000000000	-11.032601257029
-27.000000000000	-11.206113822199
-26.000000000000	-11.390579924821
-25.000000000000	-11.588660138783
-24.000000000000	-11.803419660943
-23.000000000000	-12.037796530948
-22.000000000000	-12.295538502280
-21.000000000000	-12.580838043497
-20.000000000000	-12.898638377375
-19.000000000000	-13.254853610013
-18.000000000000	-13.656631924614
-17.000000000000	-14.112675101462
-16.000000000000	-14.633448433139
-15.000000000000	-15.232430752560
-14.000000000000	-15.925605550194
-13.000000000000	-16.733115243372
-12.000000000000	-17.679926453229
-11.000000000000	-18.796235616662
-10.000000000000	-20.115179059067
-9.0000000000000	-21.659732520960
-8.0000000000000	-23.388142991343
-7.0000000000000	-25.042591151375
-6.0000000000000	-25.895700259667
-5.0000000000000	-25.258950211380
-4.0000000000000	-23.582913493546
-3.0000000000000	-21.695667766537
-2.0000000000000	-19.970276002191
-1.0000000000000	-18.487147943071
0.0000000000000	-17.236257269354
1.0000000000000	-16.190012127585
